experiment_family,training_sequence,train_dataset_name,eval_dataset_name,experiment_id,prediction_mode,shared_10_eval,train_num_keypoints,eval_num_keypoints,train_hand,train_input_size,tips_bases_only,lambda_hm,lambda_coord,heatmap_sigma,wing_w,wing_epsilon,n,num_seeds,metrics.sse_norm_mean,metrics.sse_norm_std,metrics.epe_norm_mean,metrics.epe_norm_std,metrics.pck_mean,metrics.pck_std,metrics.timing.ms_per_image_mean,metrics.timing.ms_per_image_std,metrics.timing.images_per_second_mean,metrics.timing.images_per_second_std
ablation,rhd,rhd,rhd,B0,coord,False,21,21,right,256,False,1.0,1.0,2.0,10.0,2.0,5,5,0.31344960698983537,0.02288225487672944,0.07881022110139749,0.006240581169604992,0.9112944129928018,0.0071213198755837375,1.272324412034229,0.002894782101079022,785.9663264412169,1.789503393263784
ablation,rhd,rhd,rhd,B0,fusion,False,21,21,right,256,False,1.0,1.0,2.0,10.0,2.0,5,5,0.30978192316472003,0.023622987305626453,0.07789785554822688,0.0053939146037048245,0.9112175628250121,0.007087235639560994,1.3466252784225599,0.09812897139359578,745.4820101229341,49.48752626581554
ablation,rhd,rhd,rhd,B0,fusion,True,21,10,right,256,False,1.0,1.0,2.0,10.0,2.0,5,5,0.15112435976780753,0.011972220567044133,0.07640359344638006,0.00391832418670619,0.9101320167435869,0.007053124772837502,1.3006614130591192,0.00283712384663281,768.8425333088221,1.6811903191707989
ablation,rhd,rhd,rhd,B0,heatmap,False,21,21,right,256,False,1.0,1.0,2.0,10.0,2.0,5,5,0.31393529608452425,0.06843599486950702,0.09887073523783826,0.03349002263961284,0.9374337167302815,0.006642974813605748,1.2863001417466973,0.0023383335577836944,777.425588877997,1.414026798085634
ablation,rhd,rhd,rhd,B1,coord,False,10,10,right,256,True,1.0,1.0,2.0,10.0,2.0,5,5,0.15991000648467774,0.021803555651781138,0.07149771847693695,0.006954186360915325,0.9101856820865086,0.004765742310310226,1.2717388196140966,0.003236092617770986,786.3290550783817,2.002544307948269
ablation,rhd,rhd,rhd,B1,fusion,False,10,10,right,256,True,1.0,1.0,2.0,10.0,2.0,5,5,0.15741634938723878,0.022574595584094546,0.07058055694873233,0.005416956490150247,0.9099173553719009,0.0045611753184150545,1.3070026748537842,0.014147069233407701,765.1801906507442,8.178129204128043
ablation,rhd,rhd,rhd,B1,fusion,True,10,10,right,256,True,1.0,1.0,2.0,10.0,2.0,5,5,0.15741634938723878,0.022574595584094546,0.07058055694873233,0.005416956490150247,0.9099173553719009,0.0045611753184150545,1.3000012531089993,0.0024237827932300907,769.232167890064,1.4348386683103718
ablation,rhd,rhd,rhd,B1,heatmap,False,10,10,right,256,True,1.0,1.0,2.0,10.0,2.0,5,5,0.22134829305134213,0.08797794513207136,0.09907715340802967,0.028770225416338818,0.9021788129226145,0.03930859804672054,1.286762701538651,0.005462844005043481,777.1552408118483,3.289779889954045
ablation,rhd,rhd,rhd,E1,coord,False,21,21,right,256,False,1.0,1.0,2.0,10.0,1.0,5,5,0.30019567963664484,0.05921156711831627,0.06838282040281521,0.0024757245409251023,0.9175756333734663,0.011195644935266475,0.7847127734063483,0.00207882839210386,1274.3587966597956,3.3827091056077627
ablation,rhd,rhd,rhd,E1,fusion,False,21,21,right,256,False,1.0,1.0,2.0,10.0,1.0,5,5,0.29940046176882434,0.059080562677259585,0.06953729632008462,0.0011210779566375592,0.9174629197940416,0.011277687571076929,0.8131499620717116,0.003046232375431262,1229.7992698092735,4.608001676354574
