experiment_family,training_sequence,train_dataset_name,eval_dataset_name,experiment_id,prediction_mode,train_num_keypoints,shared_10_eval,lambda_hm,lambda_coord,heatmap_sigma,wing_w,wing_epsilon,n,num_seeds,metrics.sse_norm_mean,metrics.sse_norm_std,metrics.epe_norm_mean,metrics.epe_norm_std,metrics.pck_mean,metrics.pck_std
ablation,rhd,rhd,rhd,B0,coord,21,False,1.0,1.0,2.0,10.0,2.0,5,5,0.31344960698983537,0.02288225487672944,0.07881022110139749,0.006240581169604992,0.9112944129928018,0.0071213198755837375
ablation,rhd,rhd,rhd,B0,fusion,21,False,1.0,1.0,2.0,10.0,2.0,5,5,0.30978192316472003,0.023622987305626453,0.07789785554822688,0.0053939146037048245,0.9112175628250121,0.007087235639560994
ablation,rhd,rhd,rhd,B0,fusion,21,True,1.0,1.0,2.0,10.0,2.0,5,5,0.15112435976780753,0.011972220567044133,0.07640359344638006,0.00391832418670619,0.9101320167435869,0.007053124772837502
ablation,rhd,rhd,rhd,B0,heatmap,21,False,1.0,1.0,2.0,10.0,2.0,5,5,0.31393529608452425,0.06843599486950702,0.09887073523783826,0.03349002263961284,0.9374337167302815,0.006642974813605748
ablation,rhd,rhd,rhd,B1,coord,10,False,1.0,1.0,2.0,10.0,2.0,5,5,0.15991000648467774,0.021803555651781138,0.07149771847693695,0.006954186360915325,0.9101856820865086,0.004765742310310226
ablation,rhd,rhd,rhd,B1,fusion,10,False,1.0,1.0,2.0,10.0,2.0,5,5,0.15741634938723878,0.022574595584094546,0.07058055694873233,0.005416956490150247,0.9099173553719009,0.0045611753184150545
ablation,rhd,rhd,rhd,B1,fusion,10,True,1.0,1.0,2.0,10.0,2.0,5,5,0.15741634938723878,0.022574595584094546,0.07058055694873233,0.005416956490150247,0.9099173553719009,0.0045611753184150545
ablation,rhd,rhd,rhd,B1,heatmap,10,False,1.0,1.0,2.0,10.0,2.0,5,5,0.22134829305134213,0.08797794513207136,0.09907715340802967,0.028770225416338818,0.9021788129226145,0.03930859804672054
ablation,rhd,rhd,rhd,E1,coord,21,False,1.0,1.0,2.0,10.0,1.0,5,5,0.3001950439120318,0.05917512296620989,0.06838543781458661,0.0024743413022245988,0.9175961267515435,0.011193429123862265
ablation,rhd,rhd,rhd,E1,fusion,21,False,1.0,1.0,2.0,10.0,1.0,5,5,0.29939123428811776,0.05905412122569786,0.06954136218717329,0.0011312519368425096,0.9174680431385609,0.011260529675870944
