experiment_family,training_sequence,train_dataset_name,eval_dataset_name,experiment_id,prediction_mode,shared_10_eval,train_num_keypoints,eval_num_keypoints,train_hand,train_input_size,tips_bases_only,lambda_hm,lambda_coord,heatmap_sigma,wing_w,wing_epsilon,n,num_seeds,fusion_diagnostics.heatmap_selection_rate_mean,fusion_diagnostics.heatmap_selection_rate_std,fusion_diagnostics.coord_selection_rate_mean,fusion_diagnostics.coord_selection_rate_std,fusion_diagnostics.alpha_mean_mean,fusion_diagnostics.alpha_mean_std,fusion_diagnostics.alpha_median_mean,fusion_diagnostics.alpha_median_std,fusion_diagnostics.disagreement_mean_mean,fusion_diagnostics.disagreement_mean_std,fusion_diagnostics.disagreement_median_mean,fusion_diagnostics.disagreement_median_std,fusion_diagnostics.fusion_matches_lower_error_branch_rate_mean,fusion_diagnostics.fusion_matches_lower_error_branch_rate_std
ablation,rhd,rhd,rhd,B0,fusion,False,21,21,right,256,False,1.0,1.0,2.0,10.0,2.0,5,5,0.426117162407485,0.024568764830981044,0.573882837592515,0.024568764830981044,0.06494805262235602,0.006553331022990915,0.058948355913162234,0.006189136350573598,0.16304454353331455,0.02235335298082869,0.06388492435216904,0.004847170047045841,0.481189640597382,0.012059402399921206
ablation,rhd,rhd,rhd,B0,fusion,True,21,10,right,256,False,1.0,1.0,2.0,10.0,2.0,5,5,0.40689882697947216,0.02447869979784575,0.5931011730205278,0.02447869979784573,0.06494805262235602,0.006553331022990915,0.058948355913162234,0.006189136350573598,0.16189173421552105,0.01791470528767265,0.06632381528615952,0.004677839082055491,0.4738864441343781,0.01087703966065822
ablation,rhd,rhd,rhd,B1,fusion,False,10,10,right,256,True,1.0,1.0,2.0,10.0,2.0,5,5,0.5014002932551319,0.05340333795804358,0.4985997067448681,0.05340333795804356,0.08359845909904526,0.0026660759362549043,0.07607985734939575,0.003438039715459413,0.1714136294535528,0.017796586407236598,0.0661343738436699,0.011489763758897062,0.5292798110979928,0.0372889687698246
ablation,rhd,rhd,rhd,E1,fusion,False,21,21,right,256,False,1.0,1.0,2.0,10.0,1.0,5,5,0.4028173439463762,0.04005457604217047,0.5971826560536238,0.04005457604217046,0.057176335186552796,0.002271831481610161,0.052322036027908324,0.0019958485662634334,0.15491569571248015,0.013968069711327283,0.05860448107123375,0.005195773030886585,0.4870917334836181,0.019153006954259325
ablation,rhd,rhd,rhd,E2,fusion,False,21,21,right,256,False,1.0,1.0,2.0,10.0,4.0,5,5,0.44133850020946797,0.00846832287138573,0.558661499790532,0.008468322871385686,0.07321405304142456,0.005310085132106462,0.06627838462591171,0.0038331268220345156,0.16516259274258324,0.0232935853714294,0.07004062235355377,0.004599818759091967,0.48785511181699415,0.01402740246098283
ablation,rhd,rhd,rhd,L1,fusion,False,21,21,right,256,False,1.5,0.5,2.0,10.0,2.0,5,5,0.42065703114090214,0.015547320776366409,0.579342968859098,0.015547320776366428,0.05894104951987169,0.008324872030681416,0.05400722175836563,0.007489755876805734,0.16056674029836776,0.009098687924386548,0.059626060724258426,0.010721928149467486,0.4704562338294439,0.007168962363190561
ablation,rhd,rhd,rhd,L2,fusion,False,21,21,right,256,False,0.5,1.5,2.0,10.0,2.0,5,5,0.3849287808965228,0.060582294978712474,0.6150712191034772,0.060582294978712446,0.06590829881405201,0.003919855171701904,0.05926138833165169,0.0034015413557245185,0.1869620553442693,0.051101139498842874,0.07344520539045334,0.014159170484365127,0.5067858698158159,0.045616023835832714
ablation,rhd,rhd,rhd,S1,fusion,False,21,21,right,256,False,1.0,1.0,1.5,10.0,2.0,5,5,0.3965123586091328,0.05675449274857005,0.6034876413908672,0.056754492748570036,0.05616953393930564,0.0037550001995993385,0.05106745734810829,0.0037272698489117847,0.16937908481043357,0.042343862642838945,0.0627528466284275,0.014992312054052886,0.4970515152291416,0.04169837746862877
ablation,rhd,rhd,rhd,S2,fusion,False,21,21,right,256,False,1.0,1.0,3.0,10.0,2.0,5,5,0.4434785644463064,0.018618872055606285,0.5565214355536936,0.018618872055606292,0.0731956257498509,0.006452822615287843,0.06332145631313324,0.004315696860926923,0.15871574285725876,0.010759691337308204,0.06467092111706733,0.0064120897588589645,0.4776955196352179,0.007708535368208822
ablation,rhd,rhd,rhd,W1,fusion,False,21,21,right,256,False,1.0,1.0,2.0,5.0,2.0,5,5,0.43874109761206537,0.02929187512909392,0.5612589023879346,0.029291875129093908,0.06093703394761183,0.0051703994029356805,0.055855412036180496,0.004672559217746184,0.15901138429251518,0.014947704910620809,0.05886953547596931,0.006558529496529243,0.48434049747675284,0.008728602678332347
ablation,rhd,rhd,rhd,W2,fusion,False,21,21,right,256,False,1.0,1.0,2.0,15.0,2.0,5,5,0.41391216310571155,0.033900405487896405,0.5860878368942884,0.03390040548789639,0.06258143086936815,0.003073031167094718,0.056397172063589095,0.002353641620103821,0.16332750476250651,0.025353364586434078,0.06329562366008759,0.0071516087689396145,0.48434562082127214,0.025356483537299523
