experiment_id,job_slug,dataset,training_sequence,parent_job_slug,skip_stage1,experiment_family,job_id,parent_job_id,seed,eval_datasets,benchmark_datasets
R_ONLY,r-only,rhd,rhd,,False,transfer,trf-r-only-s101,,101,"rhd,coco_hand","rhd,coco_hand"
R_ONLY,r-only,rhd,rhd,,False,transfer,trf-r-only-s202,,202,"rhd,coco_hand","rhd,coco_hand"
R_ONLY,r-only,rhd,rhd,,False,transfer,trf-r-only-s303,,303,"rhd,coco_hand","rhd,coco_hand"
R_ONLY,r-only,rhd,rhd,,False,transfer,trf-r-only-s404,,404,"rhd,coco_hand","rhd,coco_hand"
R_ONLY,r-only,rhd,rhd,,False,transfer,trf-r-only-s505,,505,"rhd,coco_hand","rhd,coco_hand"
C_ONLY,c-only,coco_hand,coco_hand,,False,transfer,trf-c-only-s101,,101,"rhd,coco_hand","rhd,coco_hand"
C_ONLY,c-only,coco_hand,coco_hand,,False,transfer,trf-c-only-s202,,202,"rhd,coco_hand","rhd,coco_hand"
C_ONLY,c-only,coco_hand,coco_hand,,False,transfer,trf-c-only-s303,,303,"rhd,coco_hand","rhd,coco_hand"
C_ONLY,c-only,coco_hand,coco_hand,,False,transfer,trf-c-only-s404,,404,"rhd,coco_hand","rhd,coco_hand"
C_ONLY,c-only,coco_hand,coco_hand,,False,transfer,trf-c-only-s505,,505,"rhd,coco_hand","rhd,coco_hand"
C_TO_R,c-to-r,rhd,coco_hand->rhd,c-only,True,transfer,trf-c-to-r-s101,trf-c-only-s101,101,"rhd,coco_hand","rhd,coco_hand"
C_TO_R,c-to-r,rhd,coco_hand->rhd,c-only,True,transfer,trf-c-to-r-s202,trf-c-only-s202,202,"rhd,coco_hand","rhd,coco_hand"
C_TO_R,c-to-r,rhd,coco_hand->rhd,c-only,True,transfer,trf-c-to-r-s303,trf-c-only-s303,303,"rhd,coco_hand","rhd,coco_hand"
C_TO_R,c-to-r,rhd,coco_hand->rhd,c-only,True,transfer,trf-c-to-r-s404,trf-c-only-s404,404,"rhd,coco_hand","rhd,coco_hand"
C_TO_R,c-to-r,rhd,coco_hand->rhd,c-only,True,transfer,trf-c-to-r-s505,trf-c-only-s505,505,"rhd,coco_hand","rhd,coco_hand"
R_TO_C,r-to-c,coco_hand,rhd->coco_hand,r-only,True,transfer,trf-r-to-c-s101,trf-r-only-s101,101,"rhd,coco_hand","rhd,coco_hand"
R_TO_C,r-to-c,coco_hand,rhd->coco_hand,r-only,True,transfer,trf-r-to-c-s202,trf-r-only-s202,202,"rhd,coco_hand","rhd,coco_hand"
R_TO_C,r-to-c,coco_hand,rhd->coco_hand,r-only,True,transfer,trf-r-to-c-s303,trf-r-only-s303,303,"rhd,coco_hand","rhd,coco_hand"
R_TO_C,r-to-c,coco_hand,rhd->coco_hand,r-only,True,transfer,trf-r-to-c-s404,trf-r-only-s404,404,"rhd,coco_hand","rhd,coco_hand"
R_TO_C,r-to-c,coco_hand,rhd->coco_hand,r-only,True,transfer,trf-r-to-c-s505,trf-r-only-s505,505,"rhd,coco_hand","rhd,coco_hand"
